date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:00	48/48	------	200	untouched ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://kalyanorders.co.uk/robots.txt		(from )
16:57:00	146254/146254	------	200	untouched ('OK')	text/html	etag:b7b93990f4f6041e61f4b321985d99ba	https://kalyanorders.co.uk/	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/index.html	(from )
16:57:00	485/485	------	200	untouched ('')	application/manifest+json	etag:8f41d2068021854093fc1e18ffd9d706	https://kalyanorders.co.uk/manifest.webmanifest	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/manifest.webmanifest	(from https://kalyanorders.co.uk/)
16:57:00	32934/32934	------	200	untouched ('')	application/javascript	etag:6e95c4ff7b96ef1dbcea15e8aea0124b	https://kalyanorders.co.uk/sw.js	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/sw.js	(from https://kalyanorders.co.uk/)
16:57:00	334020/334020	------	200	untouched ('OK')	text/html	etag:96f2ce41d897b9dfca99a78e34f9c345	https://kalyanorders.co.uk/menu	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/menu.html	(from https://kalyanorders.co.uk/)
16:57:00	80722/80722	------	200	untouched ('OK')	text/html	etag:2ee048852b92ad26c7553ca32f434378	https://kalyanorders.co.uk/buffet	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/buffet.html	(from https://kalyanorders.co.uk/)
16:57:00	151318/151318	------	200	untouched ('OK')	text/html	etag:7ddbaaaf601105bed0a031137c20cb2e	https://kalyanorders.co.uk/catering	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/catering.html	(from https://kalyanorders.co.uk/)
16:57:00	94688/94688	------	200	untouched ('OK')	text/html	etag:c6adfe8a84bc7b4dab5d1205255a23f4	https://kalyanorders.co.uk/banquet-hall	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/banquet-hall.html	(from https://kalyanorders.co.uk/)
16:57:00	150098/150098	------	200	untouched ('OK')	text/html	etag:5631495010ba34a4edaec3bd8f4abc94	https://kalyanorders.co.uk/gallery	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/gallery.html	(from https://kalyanorders.co.uk/)
16:57:00	91952/91952	------	200	untouched ('OK')	text/html	etag:d9526c224b67d57a8f9baa860be56eb3	https://kalyanorders.co.uk/contact-us	/Users/venkat.kotu/ulavacharu/kalyanorders.co.uk/contact-us.html	(from https://kalyanorders.co.uk/)
